sensor_id,sensor_type,latitude,longitude,timestamp,payload
energy_meter-000,energy_meter,50.438340833593315,30.57271539557653,2026-04-19T08:00:00+00:00,"{""kind"": ""energy_meter"", ""power_kw"": 4.041, ""voltage_v"": 229.13, ""current_a"": 17.64, ""cumulative_kwh"": 1.01, ""power_factor"": 0.937}"
energy_meter-001,energy_meter,50.498594719971194,30.481709199815654,2026-04-19T08:00:00+00:00,"{""kind"": ""energy_meter"", ""power_kw"": 3.984, ""voltage_v"": 228.97, ""current_a"": 17.4, ""cumulative_kwh"": 0.996, ""power_factor"": 0.941}"
energy_meter-002,energy_meter,50.406732572496246,30.57027304010666,2026-04-19T08:00:00+00:00,"{""kind"": ""energy_meter"", ""power_kw"": 4.062, ""voltage_v"": 228.81, ""current_a"": 17.75, ""cumulative_kwh"": 1.016, ""power_factor"": 0.941}"
energy_meter-000,energy_meter,50.438340833593315,30.57271539557653,2026-04-19T08:15:00+00:00,"{""kind"": ""energy_meter"", ""power_kw"": 4.046, ""voltage_v"": 229.56, ""current_a"": 17.62, ""cumulative_kwh"": 2.022, ""power_factor"": 0.938}"
energy_meter-001,energy_meter,50.498594719971194,30.481709199815654,2026-04-19T08:15:00+00:00,"{""kind"": ""energy_meter"", ""power_kw"": 3.881, ""voltage_v"": 228.69, ""current_a"": 16.97, ""cumulative_kwh"": 1.966, ""power_factor"": 0.939}"
energy_meter-002,energy_meter,50.406732572496246,30.57027304010666,2026-04-19T08:15:00+00:00,"{""kind"": ""energy_meter"", ""power_kw"": 4.086, ""voltage_v"": 228.84, ""current_a"": 17.86, ""cumulative_kwh"": 2.037, ""power_factor"": 0.943}"
energy_meter-000,energy_meter,50.438340833593315,30.57271539557653,2026-04-19T08:30:00+00:00,"{""kind"": ""energy_meter"", ""power_kw"": 4.011, ""voltage_v"": 229.25, ""current_a"": 17.49, ""cumulative_kwh"": 3.024, ""power_factor"": 0.936}"
energy_meter-001,energy_meter,50.498594719971194,30.481709199815654,2026-04-19T08:30:00+00:00,"{""kind"": ""energy_meter"", ""power_kw"": 3.774, ""voltage_v"": 228.77, ""current_a"": 16.5, ""cumulative_kwh"": 2.91, ""power_factor"": 0.942}"
energy_meter-002,energy_meter,50.406732572496246,30.57027304010666,2026-04-19T08:30:00+00:00,"{""kind"": ""energy_meter"", ""power_kw"": 4.139, ""voltage_v"": 228.68, ""current_a"": 18.1, ""cumulative_kwh"": 3.072, ""power_factor"": 0.942}"
energy_meter-000,energy_meter,50.438340833593315,30.57271539557653,2026-04-19T08:45:00+00:00,"{""kind"": ""energy_meter"", ""power_kw"": 3.813, ""voltage_v"": 229.51, ""current_a"": 16.61, ""cumulative_kwh"": 3.978, ""power_factor"": 0.937}"
energy_meter-001,energy_meter,50.498594719971194,30.481709199815654,2026-04-19T08:45:00+00:00,"{""kind"": ""energy_meter"", ""power_kw"": 3.787, ""voltage_v"": 228.52, ""current_a"": 16.57, ""cumulative_kwh"": 3.856, ""power_factor"": 0.942}"
energy_meter-002,energy_meter,50.406732572496246,30.57027304010666,2026-04-19T08:45:00+00:00,"{""kind"": ""energy_meter"", ""power_kw"": 4.202, ""voltage_v"": 229.03, ""current_a"": 18.35, ""cumulative_kwh"": 4.122, ""power_factor"": 0.941}"
energy_meter-000,energy_meter,50.438340833593315,30.57271539557653,2026-04-19T09:00:00+00:00,"{""kind"": ""energy_meter"", ""power_kw"": 3.812, ""voltage_v"": 229.31, ""current_a"": 16.62, ""cumulative_kwh"": 4.931, ""power_factor"": 0.938}"
